String ID,English text,en(English),fr,es,ko(Korean),ar(Arabic),pt(Portuguese),sv-rSE(Swedish),fi-rFI(French),bg-rBG(Bulgarian),es-rES(Spanish),pl-rPL(Polish),zh-rCN(Chinese Simplified),el-rGR(Greek),de-rDE(German),th-rTH(Thai),ru-rRU(Russian),hr-rHR(Croatian),nn-rNO(Norwegian),sr-rCS,fr-rCA(French),sl-rSI(Slovenian),es-rMX,hu-rHU(Hungarian),da-rDK(Danish),uk-rUA(Ukrainian),it-rIT(Italian),tr-rTR(Turkey),ro-rRO(Romanian),en-rGB(English),en-rAU(English),cs-rCZ(Czech),nl-rNL(Dutch),sk-rSK(Slovencina),es-rUS(English),fr-rFR(French)
feedbackItem5,Incorrect Route Information,Incorrect Route Information,,Información de ruta incorrecta,잘못된 경로 정보,معلومات مسار غير صحيحة,Informação do percurso errada,Felaktig ruttinformation,Virheelliset reittitiedot,Неправилна информация за маршрута,,Nieprawidłowe dane trasy,路线信息不正确,Λανθασμένες πληροφορίες διαδρομής,Fehlerhafte Routeninformationen,ข้อมูลเส้นทางไม่ถูกต้อง,Неверные данные о маршруте,Netočne informacije o ruti,Ukorrekt ruteinformasjon,Netačne informacije o ruti,Informations sur l\'itinéraire incorrectes,Napačne informacije o poti,,Helytelen útvonalinformációk,Forkert ruteinformation,Хибні дані про шлях,Informazioni percorso errate,Rota Bilgileri Hatalı,Indicaţii de ghidare incorecte,,,Nesprávné informace o trase,Onjuiste route-informatie,Nesprávne informácie o trase,,Informations d\'itinéraire incorrectes
feedbackReportFinishedText,Feedback sent and will be considered for our next update.,Feedback sent and will be considered for our next update.,,,문제에 대한 피드백을 보냈으며 다음 업데이트 시에 검토될 것입니다.,تم إرسال الملاحظة وسيتم أخذها بعين الاعتبار في التحديث التالي.,Comentário enviado. Será considerado na próxima atualização.,Din feedback har skickats och kommer tas i beaktande inför nästa uppdatering.,"Palaute on lähetetty, ja se otetaan huomioon seuraavaa päivitystä laadittaessa.",Отзивите са изпратени и ще бъдат взети предвид при следващата актуализация.,Los comentarios se han enviado y se tendrán en cuenta en la próxima actualización.,Informacja została wysłana i zostanie wzięta pod uwagę przy przygotowywaniu kolejnej aktualizacji.,反馈已发送并将在下次更新时予以考虑。,Τα σχόλια έχουν σταλεί και θα εξεταστούν για την επόμενη ενημέρωσή μας.,Ihr Feedback wurde gesendet und wird bei unserer nächsten Aktualisierung berücksichtigt.,ส่งข้อคิดเห็นแล้ว และจะนำไปพิจารณา\nในการอัพเดตครั้งถัดไปของเรา,Отчет отправлен и будет рассмотрен при подготовке следующего обновления.,Povratne infor. poslane su i uzet će se u obzir za naše sljedeće ažuriranje.,Tilbakemelding sendt. Vil bli vurdert for vår neste oppdatering.,Komentar je poslat i biće razmotren za naredno ažuriranje.,Le commentaire a été envoyé et sera pris en compte à notre prochaine mise à jour.,Povratne info. so poslane in bodo upoštevane pri pripravi naše naslednje posodobitve.,"Se enviaron los comentarios, estos serán considerados en nuestra siguiente actualización.","Visszajelzés elküldve, és a következő frissítéshez figyelembe fogjuk venni.",Feedback er sendt og vil blive taget op til overvejelse i forbindelse med vores næste opdatering.,Відгук надіслано. Ми врахуємо його в наступному оновленні.,Feedback inviato. Sarà preso in considerazione nel prossimo aggiornamento.,Geri bildiriminiz gönderilmiştir ve bir dahaki güncellemede dikkate alınacaktır.,Feedback-ul a fost trimis şi va fi luat în considerare pentru următoarea noastră actualizare.,,,Zpětná vazba byla odeslána a při příští aktualizaci ji zohledníme.,Feedback verstuurd. Uw feedback wordt overwogen voor de volgende update.,Pripomienka sa odoslala a zvážime ju pri vydaní najbližšej aktualizácie.,"Se enviaron los comentarios, estos serán considerados en nuestra siguiente actualización.",Commentaires envoyés. Ils seront pris en compte pour notre prochaine mise à jour.
feedbackSendButtonText,Send,Send,Envoyer,Enviar,보내기,إرسال,Enviar,Skicka,Lähetä,Изпращане,,Wyślij,发送,Αποστολή,Senden,ส่ง,Отправить,Pošalji,Send,Pošalji,,Pošlji,,Küldés,Send,Надіслати,Invia,Gönder,Trimiteți,,,Odeslat,Versturen,Poslať,,
feedbackTitleText,Report Location Issue,Report Location Issue,,,위치 문제 보고,الإبلاغ عن مشكلة تختص بنقطة اهتمام,Comunicar problema de localização,Rapportera ett platsproblem,Ilmoita kohteeseen liittyvästä ongelmasta,Сигнал за проблем с местоположение,Notificar problema de ubicación,Zgłaszanie problemu z lokalizacją,报告位置问题,Αναφορά προβλήματος τοποθεσίας,Problem mit Sonderziel melden,รายงานปัญหาเกี่ยวกับสถานที่,Сообщить об ошибке на карте,Prijavi problem s lokacijom,Rapporter et stedsproblem,Prijavljivanje problema sa lokacijom,Signaler un problème d\'emplacement,Prijavite težavo z lokacijo,Reportar un Problema con la Ubicación,Hellyel kapcsolatos probléma jelentése,Rapportér stedproblem,Повід. про проблему з розташуванням,Segnala problema posizione,Konum ile İlgili Sorun Bildirme,Raportare problemă locaţie aleasă,,,Nahlásit problém bodu zájmu (POI),Locatieprobleem rapporteren,Nahlásenie problému s miestom záujmu,Reportar un Problema con la Ubicación,Signaler un problème pour une position
ferryTerminalItemLabel,Ferry Terminals,Ferry Terminals,Gares maritimes,,선박 터미널,محطات العبّارات,Terminais de ferry,Färjeterminaler,Autolauttaterminaalit,Фериботни терминали,Terminales de ferry,Terminale promowe,渡口码头,Τερµατικοί σταθµοί πορθμείων,Fähranleger,ท่าเรือข้ามฟาก,Паромные переправы,Trajektni terminali,Fergeterminaler,Terminali za trajekte,,Terminali za potniške trajekte,Terminales de Ferries,Kompkikötők,Færgeterminaler,Паромні термінали,Terminal dei traghetti,Arabalı Vapur İskeleleri,Terminale de bac/feribot,,,Přístaviště přívozů/trajektů,Veerbootterminal,Terminál trajektu,Terminales de Ferries,
filteringBy,Filtering by:,Filtering by:,Filtrage par :,,정렬 기준:,التصفية وفق:,Filtragem por:,Filtrera efter:,Suodatusperuste:,Филтриране по:,Filtrado por:,Filtrowanie według:,筛选条件：,Φιλτράρισμα κατά:,Gefiltert nach:,กำลังกรองโดย:,Фильтр по:,Filtriranje po:,Filtrerer etter:,Filtriranje prema:,,Razvrščanje po:,Filtrar por:,Szűrés a következő alapján:,Søgt på:,Запит для фільтрування:,Filtro per:,Geçerli Filtre:,Filtrare după:,,,Filtrování podle:,Filteren op:,Filtrovanie podľa:,Filtrar por:,
filtersAmenities,Amenities,Amenities,,,편의시설,مع وسائل للراحة,Serviços,Tilläggstjänster,Mukavuudet,Удобства,Instalaciones,Udogodnienia,便利设施,Παροχές,Ausstattung,สิ่งอำนวยความสะดวก,Дополнительные услуги,Dodatni sadržaji,Fasiliteter,Pogodnosti,Aménagements,Javne službe,Comodidades,Kényelmi fokozat,Faciliteter,Наявність побутових зручностей,Servizi,İmkanlar,Servicii publice,Amenities,,Vybavení,Faciliteiten,Občerstvenie,,Équipements
filtersAvailableNow,Available Now,Available Now,,,지금 이용 가능,المتوفرة حالياً,Disponíveis agora,Tillgänglig nu,Saatavilla nyt,Налични сега,Disponibles ahora,Dostępne teraz,现在可用,Διαθέσιμο τώρα,Jetzt verfügbar,พร้อมใช้งานในขณะนี้,Доступны сейчас,Dostupno odmah,Tilgjengelig nå,Odmah dostupno,Disp. maintenant,Na voljo zdaj,Disponible Ahora,Most elérhető,Tilgængelige nu,Доступні зараз,Disponibile adesso,Şu Anda Kullanılabilir,Disponibil acum,Available Now,,Aktuálně k dispozici,Nu beschikbaar,Teraz dostupné,,Disponible
filtersChargingNetworks,Charging Networks,Charging Networks,,,충전 네트워크,شبكات شحن سيارات كهربائية,Redes de carregamento,Laddningsnätverk,Latausverkot,Мрежи за зареждане,Redes de carga,Sieci stacji ładowania,充电网络,Δίκτυα σταθμών φόρτισης,Ladenetze,เครือข่ายสถานีชาร์จ,Сети станций зарядки,Mreže stanica za punjenje,Ladenettverk,Mreže za punjenje,Réseaux de recharge,Polnilna omrežja,Cargando Redes,Töltőállomás hálózatok,Opladningsnetværker,Мережі зарядних станцій,Reti di carica,Şarj Ağları,Rețele de încărcare,Charging Networks,,Sítě nabíjecích stanic,Oplaadnetwerken,Nabíjacie siete,,Réseaux de charge
filtersChargingSpeed,Charging Speed,Charging Speed,,,충전 속도,سرعة الشحن,Velocid. de carregamento,Laddningshastighet,Latausnopeus,Скорост на зареждане,Velocidad de carga,Szybkość ładowania,充电速度,Ταχύτητα φόρτισης,Ladegeschwindigkeit,ความเร็วในการชาร์จ,Скорость зарядки,Brzina punjenja,Ladehastighet,Brzina punjenja,Vitesse de recharge,Hitrost polnjenja,Cargando Velocidad,Töltési sebesség,Opladningshastighed,Швидкість заряджання,Velocità di carica,Şarj Hızı,Viteză de încărcare,Charging Speed,,Rychlost nabíjení,Oplaadsnelheid,Rýchlosť nabíjania,,Vitesse de charge
filtersFreeParking,Free Parking,Free Parking,,,무료 주차,مع ركن مجاني,Estacionam. gratuito,Kostnadsfri parkering,Ilmainen pysäköinti,Безплатен паркинг,Parking gratis,Bezpłatny parking,免费停车,Δωρεάν στάθμευση,Kostenl. Parkplätze,ที่จอดรถฟรี,Бесплатн. парковка,Besplatno parkiranje,Gratis parkering,Besplatno parkiranje,Stationnement grat.,Brezplačno parkiranje,Estacionam. Gratuito,Ingyenes parkolás,Gratis parkering,Безплатне паркув.,Parcheggio gratuito,Ücretsiz Park,Parcare gratuită,Free Parking,,Bezplatné parkování,Gratis parkeren,Bezplatné parkovanie,,Parking gratuit
filtersWithinRange,Within Range,Within Range,À portée,,주행 가능 범위 내,ضمن النطاق,Dentro de alcance,Inom räckvidd,Toimintasäteen sis.,В обхват,Dentro del rango,W zasięgu,续航里程范围之内,Εντός αυτονομίας,In Reichweite,ไม่เกินระยะทางที่ขับได้,В пределе досягаем.,Unutar dosega,Innenfor rekkevidde,Unutar dometa,,Znotraj dosega,Dentro del Rango,Hatótávolságon belül,Inden for rækkevidde,У межах запасу ходу,Entro la portata,Menzil Kapsamında,În autonomie,Within Range,,V dojezdu,Binnen bereik,V rámci dojazdu,,
financialItemLabel,ATMs,ATMs,,Cajeros autom.,현금인출기,ماكينات صرافة,Multibancos,Uttagsaut.,Pankkiaut.,Банкомати,,Bankomaty,ATM,ATM,Geldautomat,ตู้ ATM,Банкоматы,Bankomati,Minibank,Bankomati,Guichets,Bankomati,,ATM,Pengeautomater,Банкомати,Bancomat,ATM\'ler,Bancomate,Cashpoints,ATM,Bankomaty,Pinautomaat,Bankomat,,Banques
firstHourVar,First Hour:,First Hour:,Première heure :,Primera hora:,처음 1 시간:,أول ساعة:,Primeira hora:,Första timmen:,Ensimmäinen tunti:,За първия час:,,Pierwsza godzina:,第一个小时：,Πρώτη ώρα:,Erste Stunde:,ชั่วโมงแรก:,За первый час:,Prvi sat:,Første time:,Prvi sat:,,Prva ura:,,Első óra:,Første time:,За першу годину:,Prima ora:,İlk Saat:,Prima oră:,,,První hodina:,Eerste uur:,Prvá hodina:,,
fitnessCenterItemLabel,Fitness Centers,Fitness Centers,,Centros de fitness,피트니스 센터,مراكز لياقة بدنية,Centros de fitness,Gym,Kuntosalit,Фитнес центрове,,Kluby fitness,健身中心,Γυμναστήρια,Fitness-Studios,ศูนย์ออกกำลังกาย,Фитнес-центры,Teretane,Treningssentre,Fitnes centri,Centres de conditionnement physique,Fitnes centri,,Fitneszközpontok,Fitnesscentre,Фітнес-центри,Centri benessere,Jimnastik Salonları,Centre de fitness,,,Fitness centra,Sportscholen,Fitnescentrum,,Centres de remise en forme
foodItemLabel,Food,Food,,,음식,أغذية,Alimentação,Mat,Ruoka,Храна,Comida,Jedzenie,餐饮美食,Εστίαση,Essen,อาหาร,Еда,Hrana,Mat,Hrana,Nourriture,Hrana,Alimentos,Étel,Mad,Харчування,Cibo,Yeme İçme,Gastronomie,,,Jídlo,Eetgelegenh.,Jedlo,Alimentos,Restauration
foodScreenTitle,Food,Food,,,음식,أغذية,Alimentação,Mat,Ruoka,Хран,Comida,Jedzenie,餐饮美食,Εστίαση,Essen,อาหาร,Еда,Hrana,Mat,Hrana,Nourriture,Hrana,Alimentos,Étel,Mad,Харчування,Cibo,Yeme İçme,Gastronomie,,,Jídlo,Eetgelegenheden,Jedlo,Alimentos,Alimentation
foodSubItemLabel,All Food,All Food,,,모든 음식,كل محال الأغذية,Toda a alimentação,All mat,Kaikki ruokapaikat,Всички видове,Todo tipo de comida,Wszystkie rodzaje jedzenia,所有餐厅,Όλα τα είδη εστίασης,Alle Einträge,อาหารทั้งหมด,Все места,Sva hrana,All mat,Sva hrana,Tous les types de nourriture,Hrana,Todos los Alimentos,Minden étel,Al mad,Усі заклади харчування,Tutti i tipi di cibo,Her Türlü Yeme İçme,Gastronomie - toate,,,Veškeré jídlo,Alle eetgelegenheden,Jedlo – všetko,Todos los Alimentos,Restauration
foreignRestaurantItemLabel,Foreign Restaurants,Foreign Restaurants,,,양식당,مطاعم أجنبية,Restaurantes estrangeiros,Internationella restauranger,Ulkomaalaiset ravintolat,Ресторанти с чуждестранна кухня,Restaurantes internacionales,Restauracje z kuchnią międzynarodową,外国餐厅,Εστιατόρια ξένης κουζίνας,Ausländisches Restaurant,ร้านอาหารต่างชาติ,Рестораны с иностранной кухней,Strani restorani,Utenlandske restauranter,Strani restorani,Restaurants ethniques,Tuje restavracije,Restaurantes Extranjeros,Külföldi éttermek,Udenlandske restauranter,Ресторани іноземної кухні,Ristoranti etnici,Yabancı Mutfaklar,Restaurante cu specific străin,,,Cizokrajné restaurace,Buitenlandse restaurants,Reštaurácie so zahraničnou kuchyňou,Restaurantes Extranjeros,Restaurants étrangers
freeParkingPriceInformation,Free,Free,Gratuit,Gratis,무료 주차,مجاني,Gratuito,Gratis,Ilmainen,Безплатно,,Bezpłatnie,免费,Δωρεάν,Kostenlos,ฟรี,Бесплатно,Besplatno,Gratis,Besplatno,,Brezplačno,,Ingyenes,Gratis,Безплатно,Gratuito,Ücretsiz,Gratuită,,,Zdarma,Gratis,Zadarmo,,
freeParkingPriceWithUnitOnBubble,Free/%1$s hr,Free/%1$s hr,,,무료/%1$s 시간,مجاني/%1$s ساعة/ساعات,Gratuito/%1$s h,Gratis/%1$s tim,Ilmainen/%1$s h,Безплатно/%1$s ч.,Gratis/%1$s h,Bezpłatnie: %1$s godz.,免费/%1$s小时,Δωρεάν/%1$s ώρες,Kostenlos/%1$s Std.,ฟรี/%1$s ชม.,Бесплатно / %1$s ч,Besplatno/%1$s h,Gratis/%1$s timer,Besplatno na %1$s sati.,Gratuit/%1$s h,Brezplačno/%1$s h,Gratis/%1$s hr,Ingyenes/%1$s óra,Gratis/%1$s t,Безплатно (%1$s/год),Gratuito/%1$s ora/e,Ücretsiz/%1$s sa,Gratuită/%1$s oră,,,Zdarma/%1$s hod,Gratis/%1$s uur,Zadarmo/%1$s h,Gratis/%1$s hr,Gratuit %1$s h
ftueActiveRouting,Active Routing – Gets the best route dynamically updated based on current road conditions,Active Routing – Gets the best route dynamically updated based on current road conditions,,,능동형 경로 지정 – 현재의 도로 상황에 따라 최상의 경로를 유연하게 자동 업데이트,تحديد المسار النشط - للحصول على أفضل مسار من خلال التحديث الديناميكي المستند إلى ظروف الطريق الحالية,Trajeto ativo - Obtém o melhor trajeto atualizado dinamicamente com base nas condições atuais da estrada,Aktiv guidning – få den bästa rutten dynamiskt uppdaterad baserat på aktuella vägförhållanden,"Aktiivinen reititys – Noutaa parhaan, tieolosuhteiden mukaan dynaamisesti päivitettävän reitin",Активно изчисление на маршрут – Посочва най-добрия маршрут динамично въз основа на текущите пътни условия.,Cálculo de ruta activo: actualiza la mejor ruta de forma dinámica en función de las condiciones actuales de la carretera.,Aktywne wyznaczanie trasy – dynamiczny wybór najlepszej trasy w oparciu o bieżące warunki jazdy,主动规划路线 – 基于当前道路状况动态更新最佳路线,"Ενεργή δρομολόγηση – Λαμβάνει δυναμικά τη βέλτιστη διαδρομή, με βάση τις τρέχουσες οδικές συνθήκες",Aktive Streckenführung: Aktualisiert die beste Strecke dynamisch auf Basis der aktuellen Straßenverhältnisse.,การกำหนดเส้นทางแบบแอคทีฟ - รับเส้นทางที่ดีที่สุดที่มีการอัพเดตตลอดเวลาโดยอ้างอิงตามสภาพถนนในปัจจุบัน,Активный маршрут — маршрут динамически обновляется в соответствии с ситуацией на дорогах.,Aktivna izrada rute – omogućuje dinamičko ažuriranje najbolje rute na temelju trenutačnih uvjeta na cesti,Aktiv ruteplanlegging - Finner beste rute med dynamisk oppdatering basert på aktuelle veiforhold,Aktivno traženje rute – preuzima najbolju rutu koja se dinamički ažurira na osnovu trenutnih uslova puta,Établissement actif d\'itinéraires - permet d\'obtenir dynamiquement le meilleur itinéraire mis à jour en fonction des conditions actuelles de la route,"Aktivno iskanje poti – sistem pridobi najboljšo pot, ki se dinamično posodablja glede na trenutne razmere na cesti",Enrutamiento activo – Obtiene la mejor ruta dinámicamente actualizada con base en las condiciones de tráfico actual.,"Aktív útvonaltervezés - Az aktuális útviszonyok alapján dinamikusan frissített, legjobb útvonaltervet használja",Aktiv Ruteplanlægning - få den bedste rute opdateret dynamisk baseret på aktuelle vejforhold,"Активне прокладання маршруту – забезпечує оптимальний маршрут, що динамічно оновлюється залежно від поточної ситуації на дорозі",Instradamento attivo: consente di aggiornare in modo dinamico il percorso migliore in base alle condizioni stradali attuali,Aktif Rota - Mevcut yol koşullarına göre dinamik olarak güncellenen en iyi rotayı alır,Rută activă - Actualizează dinamic cea mai bună rută posibilă în funcție de condițiile actuale ale șoselei.,,,Aktivní tvorba tras – vaše trasa bude dynamicky aktualizována na základě aktuálních podmínek na silnici.,Active Routing – Update de beste route dynamisch op basis van de huidige wegomstandigheden,Aktívne navádzanie – získa dynamicky aktualizovanú najlepšiu trasu na základe aktuálneho stavu na cestách,Planificación de Ruta Activa – Obtenga la mejor ruta actualizada de manera dinámica basada en las condiciones actuales del camino,Itinéraire actif : trouve le meilleur itinéraire avec mise à jour dynamique en fonction des conditions de circulation
ftueAroundTraffic,Get up-to-date traffic information,Get up-to-date traffic information,,,최신 교통 정보를 확인,احصل على معلومات مرورية محدَّثة,Obter informações de trânsito atualizadas,Få aktuell trafikinformation,Ajan tasalla olevat liikennetiedotteet,Получавайте актуална информация за трафика,Reciba información actualizada del tráfico,Odbieraj aktualne informacje o sytuacji na drogach,获取最新交通信息,Λήψη ενημερωμένων πληροφοριών για την κίνηση στους δρόμους,Nutzen Sie aktuellste Verkehrsinformationen,รับข้อมูลการจราจรล่าสุด,Получайте актуальную информацию о ситуации на дорогах,Primajte ažurirane prometne informacije,Få oppdatert trafikkinformasjon,Primajte ažurirane informacije o saobraćaju,Obtenez des informations routières à jour,Prejemajte najnovejše prometne informacije,Obtenga información de tráfico actualizada,Tegyen szert friss közlekedési információkra,Få opdateret trafikinformation,Отримуйте останні відомості про дорожній рух,Informazioni aggiornate sul traffico,En son trafik bilgilerine ulaşın.,Primiți informații actualizate din trafic,,,Získejte aktuální dopravní informace,Beschik over actuele verkeersinformatie,Majte vždy aktuálne dopravné informácie.,Obtenga información de tráfico actualizada,Recevez des informations trafic à jour
ftueChargeAdvisor,Automatically add EV chargers along route to help you maintain a safe charge level.,Automatically add EV chargers along route to help you maintain a safe charge level.,,,안전한 충전 레벨을 유지할 수 있도록 전기 차량 충전소를 경로에 자동으로 추가합니다.,يتيح إضافة محطات شحن للسيارات الكهربائية تلقائياً على طول المسار بغية مساعدتك في الحفاظ على مستوى شحن آمن.,Adiciona automaticamente carregadores VE ao longo do percurso para o ajudar a manter um nível de carga seguro.,Lägg automatiskt till elfordonsladdare längs rutten för att hjälpa dig att bibehålla en säker laddningsnivå.,"Lisää reitin varrella olevat EV-latauspisteet automaattisesti, jotta lataustaso säilyy turvallisena.","Автоматично добавя зарядни станции за EV по маршрута ви, за да поддържате сигурно ниво на заряда.",Agrega automáticamente cargadores VE por la ruta para ayudar a mantener un nivel de carga seguro.,"Automatycznie dodaje stacje ładowania na trasie, aby utrzymać bezpieczny poziom naładowania akumulatora.",自动添加沿途电动车辆充电站有助于您维持安全的电量水平。,"Αυτόματη προσθήκη φορτιστών EV στη διαδρομή, για τη διατήρηση ενός ασφαλούς επιπέδου φόρτισης.","Fügen Sie auf der Route automatisch EV-Ladestationen hinzu, damit Sie immer einen sicheren Ladestand haben.",เพิ่มสถานีชาร์จในเส้นทางโดยอัตโนมัติเพื่อช่วยรักษาระดับประจุไฟฟ้าให้อยู่ในระดับที่ปลอดภัย,Автоматически добавляет на маршрут станции электрозаправки для сохранения безопасн. уровня зарядки.,Automatski dodaje stanice za punjenje električnih vozila duž rute kako biste zadržali sigurnu razinu napunjenosti.,"Legger til elbilladere langs ruten automatisk, for å hjelpe deg med å opprettholde et trygt ladenivå.",Automatski dodaje EV punjače duž rute da biste lakše održavali bezbedan nivo punjenja.,Ajoutez automatiquement des chargeurs VÉ sur l\'itinéraire pour garder un niveau de charge sécuritaire.,Samodejno doda polnilne postaje za električna vozila na poti in tako pomaga ohranjati varen nivo napolnjenosti.,Agrega automáticamente cargadores de VE a lo largo de la ruta para ayudarle a mantener un nivel de carga seguro.,Az útvonalon lévő EV töltőállomások automatikus hozzáadása a biztonságos töltöttségi szint fenntartása érdekében.,Tilføj automatisk EV-opladere på ruten for at hjælpe med at opretholde et sikkert strømniveau.,"Автоматично додає зарядні станції для ЕМ на маршруті, щоб підтримувати безпечний рівень заряду.",Aggiungi automaticamente stazioni di carica VE per poter mantenere un livello di carica sicuro.,"Güvenli bir şarj seviyesini korumanıza yardımcı olmak için, rota üzerindeki EV şarj istasyonlarını otomatik olarak ekler.",Adăugați automat încărcătoare VE de-a lungul traseului pentru a vă ajuta să păstrați un nivel de încărcare sigur.,Automatically add EV chargers along route to help you maintain a safe charge level.,,"Automaticky přidá na trase nabíjecí stanice pro EV, aby vám pomohl udržet bezpečnou úroveň nabití vozidla.",Automatisch laadpalen toevoegen op route om veilig laadniveau te handhaven.,Automatickým pridaním nabíjacích staníc elektromobilov na trase pomôžete zachovať bezpečnú úroveň nabitia.,,Ajoute automatiquement des bornes de charge sur l\'itinéraire pour conserver un niveau de charge de sécurité.
ftueDataDisclaimer,Personalized Navigation uses your driving and app data. All data will be stored and used as described in our %1$s,Personalized Navigation uses your driving and app data. All data will be stored and used as described in our %1$s,,,사용자 지정 내비게이션 기능은 사용자의 주행 및 앱 데이터를 사용합니다. 모든 데이터가 %1$s 에 설명된 바와 같이 저장되고 사용됩니다.,تستخدم ميزة التجوال المخصّص بيانات القيادة والتطبيق الخاصة بك. سيتم تخزين واستخدام جميع البيانات بالطريقة الموضحة في %1$s.,A funcionalidade Navegação personalizada utiliza dados da sua condução e aplicação. Todos os dados serão guardados e utilizados conforme descrito na nossa %1$s.,Personanpassad navigation använder dina körning- och appdata. Alla data lagras och används enligt vår %1$s.,Personoitu navigointi hyödyntää ajo- ja sovellustietojasi. Kaikki tiedot tallennetaan ja niitä käytetään %1$s-ehtojemme mukaisesti.,Персонализираната навигация използва данните за шофирането Ви и данните от приложенията. Всички данни ще се съхраняват и използват съгласно нашата %1$s.,Navegación personalizada usa sus datos de conducción y aplicaciones. Todos los datos se guardarán y usarán como se describe en nuestra %1$s.,Spersonalizowana nawigacja wykorzystuje dane dotyczące jazdy oraz dane aplikacji. Wszystkie dane będą przechowywane i używane w sposób opisany w dokumencie %1$s.,个性化导航使用您的驾驶与应用程序数据。所有数据将按照我们的%1$s中所述内容进行存储和使用。,"Η Εξατομικευμένη πλοήγηση χρησιμοποιεί τα δεδομένα που αφορούν στην οδήγηση και τις εφαρμογές σας. Για την αποθήκευση και χρήση των δεδομένων, βλ. %1$s",Die personalisierte Navigation verwendet Ihre Fahr- und App-Daten. Alle Daten werden gemäß unserer %1$s gespeichert und verwendet.,การนำทางที่ปรับให้เหมาะกับผู้ใช้งานจะใช้ข้อมูลการขับขี่และข้อมูลเกี่ยวกับแอป ซึ่งข้อมูลทั้งหมดจะถูกจัดเก็บและใช้ตามที่ระบุไว้ใน %1$s ของเรา,"Функция «Персонализированная навигация» использует данные приложений и вождения. Все данные хранятся и используются, как описано в нашем %1$s.",Personalizirana navigacija upotrebljava podatke o vašoj vožnji i podatke aplikacije. Svi podaci pohranjuju se i upotrebljavaju na način opisan u našoj %1$s.,Personlig navigering bruker din kjøring og app-data. Alle data lagres og brukes som beskrevet i din %1$s.,Personalizovana Navigacija koristi vaše podatke o vožnji i aplikacijama. Svi podaci će biti sačuvani i korišćeni kako je opisano u našem %1$s.,La navigation personnalisée utilise vos données de conduite et d\'application. Toutes les données seront stockées et utilisées de la manière décrite dans notre %1$s.,"Prilagojena navigacija uporablja podatke o vaši vožnji in podatke aplikacije. Vse podatke hranimo in uporabljamo, kot je opisano v %1$s.",La Navegación Personalizada utiliza sus datos de conducción y aplicación. Todos los datos se almacenarán y utilizarán como se describe en nuestro %1$s.,A Személyre szabott navigáció a vezetési és alkalmazás adatait használja. Minden adat tárolása és felhasználása a %1$s dokumentumban leírtak szerint történik.,Personlig navigation bruger dine køre- og app-data. Alla data vil blive gemt og brugt som beskrevet i vores %1$s.,Персоналізована навігація використовує дані про рух автомобіля й дані додатка. Усі дані зберігаються й використовуються згідно з нашими правилами (%1$s).,Navigazione personalizzata usa i tuoi dati di guida e dell\'app. Tutti i dati verranno archiviati e usati come descritto nella nostra %1$s.,"\'Kişiselleştirilmiş Navigasyon sizin sürüş ve uygulama verilerinizi kullanır. Tüm veriler, %1$s\'mizde açıklanan şekilde depolanacak ve kullanılacaktır.",Navigația Personalizată folosește datele dvs. de condus și ale aplicației. Toate datele vor fi stocate și folosite conform descrierii din %1$s.,Personalised Navigation uses your driving and app data. All data will be stored and used as described in our %1$s.,,"Personalizovaná navigace využívá údaje o vašem řízení a aplikační data. Veškerá data budou ukládána a využívána v souladu s tím, jak je popsáno v našich %1$s.",Gepersonaliseerde navigatie maakt gebruik van uw app- en rijgegevens. Alle gegevens worden opgeslagen en gebruikt zoals beschreven in onze %1$s.,"Personalizovaná navigácia využíva údaje týkajúce sa jazdy a aplikácie. Všetky údaje sa uložia a použijú tak, ako je to opísané v našich %1$s.",,La Navigation personnalisée utilise vos données de conduite et d\'appli. Toutes les données seront conservées et utilisées comme décrit dans notre %1$s.
